Age,Attrition,BusinessTravel,Daily Rate,Department,Distance From Home,Education,Education Field,EmployeeNumber,Environment Satisfaction,Gender,Hourly Rate,Job Involvement,Job Level,JobRole,Job Satisfaction,Marital Status,Monthly Income,Monthly Rate,Num Companies Worked,Overtime,Percent Salary Hike,Performance Rating,Relationship Satisfaction,Stock Option Level,Total Working Years,Training Times Last Year,Work Life Balance,Years At Company,Years In Current Role,Years Since Last Promotion,Years With Current Manager
21,No,Travel Rarely,391,Research & Development,15,College,Life Sciences,30,High,Male,96,High,1,Research Scientist,Very High,Single,1232,19281,1.0,No Overtime,14,3,Very High,0,0.0,6,High,0,0.0,0.0,0.0
34,Yes,Travel Rarely,699,Research & Development,6,Below College,Medical,31,Medium,Male,83,High,1,Research Scientist,Low,Single,2960,17102,2.0,No Overtime,11,3,High,0,8.0,2,High,4,2.0,1.0,3.0
53,No,Travel Rarely,1282,Research & Development,5,Bachelor,Other,32,High,Female,58,High,5,Manager,High,Divorced,16581,10735,4.0,No Overtime,11,3,Very High,1,26.0,3,Medium,14,13.0,4.0,8.0
32,Yes,Travel Frequently,1125,Research & Development,16,Below College,Life Sciences,33,Medium,Female,72,Low,1,Research Scientist,Low,Single,3919,4681,1.0,Overtime,22,4,Medium,0,10.0,5,High,10,2.0,6.0,7.0
42,No,Travel Rarely,691,Sales,8,Master,Marketing,35,High,Male,48,High,2,Sales Executive,Medium,Married,6825,21173,0.0,No Overtime,11,3,Very High,1,10.0,2,High,9,7.0,4.0,2.0
44,No,Travel Rarely,477,Research & Development,7,Master,Medical,36,Low,Female,42,Medium,3,Healthcare Representative,Very High,Married,10248,2094,3.0,No Overtime,14,3,Very High,1,24.0,4,High,18,6.0,5.0,14.5
46,No,Travel Rarely,705,Sales,2,Master,Marketing,38,Medium,Female,83,High,5,Manager,Low,Single,16581,22822,3.0,No Overtime,12,3,Very High,0,22.0,2,Medium,2,2.0,2.0,1.0
33,No,Travel Rarely,924,Research & Development,2,Bachelor,Medical,39,High,Male,78,High,1,Laboratory Technician,Very High,Single,2496,6670,4.0,No Overtime,11,3,Very High,0,7.0,3,High,1,1.0,0.0,0.0
44,No,Travel Rarely,1459,Research & Development,10,Master,Other,40,Very High,Male,41,High,2,Healthcare Representative,Very High,Married,6465,19121,2.0,Overtime,13,3,Very High,0,9.0,5,Very High,4,2.0,1.0,3.0
30,No,Travel Rarely,125,Research & Development,9,College,Medical,41,Very High,Male,83,Medium,1,Laboratory Technician,High,Single,2206,16117,1.0,No Overtime,13,3,Low,0,10.0,5,High,10,0.0,1.0,8.0
39,Yes,Travel Rarely,895,Sales,5,Bachelor,Technical Degree,42,Very High,Male,56,High,2,Sales Representative,Very High,Married,2086,3335,3.0,No Overtime,14,3,High,1,19.0,6,Very High,1,0.0,0.0,0.0
24,Yes,Travel Rarely,813,Research & Development,1,Bachelor,Medical,45,Medium,Male,61,High,1,Research Scientist,Very High,Married,2293,3020,2.0,Overtime,16,3,Low,1,6.0,2,Medium,2,0.0,2.0,0.0
43,No,Travel Rarely,1273,Research & Development,2,College,Medical,46,Very High,Female,72,Very High,1,Research Scientist,High,Divorced,2645,21923,1.0,No Overtime,12,3,Very High,2,6.0,3,Medium,5,3.0,1.0,4.0
50,Yes,Travel Rarely,869,Sales,3,College,Marketing,47,Low,Male,86,Medium,1,Sales Representative,High,Married,2683,3810,1.0,Overtime,14,3,High,0,3.0,2,High,3,2.0,0.0,2.0
35,No,Travel Rarely,890,Sales,2,Bachelor,Marketing,49,Very High,Female,97,High,1,Sales Representative,Very High,Married,2014,9687,1.0,No Overtime,13,3,Low,0,2.0,3,High,2,2.0,2.0,2.0
36,No,Travel Rarely,852,Research & Development,5,Master,Life Sciences,51,Medium,Female,82,Medium,1,Research Scientist,Low,Married,3419,13072,8.5,Overtime,14,3,Very High,1,6.0,3,Very High,1,1.0,0.0,0.0
33,No,Travel Frequently,1141,Sales,1,Bachelor,Life Sciences,52,High,Female,42,Very High,2,Sales Executive,Low,Married,5376,3193,2.0,No Overtime,19,3,Low,2,10.0,3,High,5,3.0,1.0,3.0
35,No,Travel Rarely,464,Research & Development,4,College,Other,53,High,Male,75,High,1,Laboratory Technician,Very High,Divorced,1951,10910,1.0,No Overtime,12,3,High,1,1.0,3,High,1,0.0,0.0,0.0
27,No,Travel Rarely,1240,Research & Development,2,Master,Life Sciences,54,Very High,Female,33,High,1,Laboratory Technician,Low,Divorced,2341,19715,1.0,No Overtime,13,3,Very High,1,1.0,6,High,1,0.0,0.0,0.0
26,Yes,Travel Rarely,1357,Research & Development,25,Bachelor,Life Sciences,55,Low,Male,48,Low,1,Laboratory Technician,High,Single,2293,10558,1.0,No Overtime,12,3,High,0,1.0,2,Medium,1,0.0,0.0,1.0
27,No,Travel Frequently,994,Sales,8,Bachelor,Life Sciences,56,Very High,Male,37,High,3,Sales Executive,High,Single,8726,2975,1.0,No Overtime,15,3,Very High,0,9.0,0,High,9,8.0,1.0,7.0
30,No,Travel Frequently,721,Research & Development,1,College,Medical,57,High,Female,58,High,2,Laboratory Technician,Very High,Single,4011,10781,1.0,No Overtime,23,4,Very High,0,12.0,2,High,12,8.0,3.0,7.0
41,Yes,Travel Rarely,1360,Research & Development,12,Bachelor,Technical Degree,58,Medium,Female,49,High,5,Research Director,High,Married,16581,16280,1.0,No Overtime,12,3,Very High,0,23.0,0,High,18,14.5,7.5,8.0
34,No,No Travel,1065,Sales,23,Master,Marketing,60,Medium,Male,72,High,2,Sales Executive,High,Single,4568,10034,0.0,No Overtime,20,4,High,0,10.0,2,High,9,5.0,7.5,7.0
37,No,Travel Rarely,408,Research & Development,19,College,Life Sciences,61,Medium,Male,73,High,1,Research Scientist,Medium,Married,3022,10227,4.0,No Overtime,21,4,Low,0,8.0,1,High,1,0.0,0.0,0.0
46,No,Travel Frequently,1211,Sales,5,Master,Marketing,62,Low,Male,98,High,2,Sales Executive,Very High,Single,5772,20445,4.0,Overtime,21,4,High,0,14.0,4,High,9,6.0,0.0,8.0
35,No,Travel Rarely,1229,Research & Development,8,Below College,Life Sciences,63,Very High,Male,36,Very High,1,Laboratory Technician,Very High,Married,2269,4892,1.0,No Overtime,19,3,Very High,0,1.0,2,High,1,0.0,0.0,1.0
48,Yes,Travel Rarely,626,Research & Development,1,College,Life Sciences,64,Low,Male,98,Medium,3,Laboratory Technician,High,Single,5381,19294,8.5,Overtime,13,3,Very High,0,23.0,2,High,1,0.0,0.0,0.0
28,Yes,Travel Rarely,1434,Research & Development,5,Master,Technical Degree,65,High,Male,50,High,1,Laboratory Technician,High,Single,3441,11179,1.0,Overtime,13,3,High,0,2.0,3,Medium,2,2.0,2.0,2.0
44,No,Travel Rarely,1488,Sales,1,Doctor,Marketing,68,Medium,Female,75,High,2,Sales Executive,Low,Divorced,5454,4009,5.0,Overtime,21,4,High,1,9.0,2,Medium,4,3.0,1.0,3.0
35,No,No Travel,1097,Research & Development,11,College,Medical,70,High,Male,79,Medium,3,Healthcare Representative,Low,Married,9884,8302,2.0,Overtime,13,3,High,1,10.0,3,High,4,0.0,2.0,3.0
26,No,Travel Rarely,1443,Sales,23,Bachelor,Marketing,72,High,Female,47,Medium,2,Sales Executive,Very High,Married,4157,21436,7.0,Overtime,19,3,High,1,5.0,2,Medium,2,2.0,0.0,0.0
33,No,Travel Frequently,515,Research & Development,1,College,Life Sciences,73,Low,Female,98,High,3,Research Director,Very High,Single,13458,15146,1.0,Overtime,12,3,High,0,15.0,1,High,15,14.0,7.5,12.0
35,No,Travel Frequently,853,Sales,18,Doctor,Life Sciences,74,Medium,Male,71,High,3,Sales Executive,Low,Married,9069,11031,1.0,No Overtime,22,4,Very High,1,9.0,3,Medium,9,8.0,1.0,8.0
35,No,Travel Rarely,1142,Research & Development,23,Master,Medical,75,High,Female,30,High,1,Laboratory Technician,Low,Married,4014,16002,3.0,Overtime,15,3,High,1,4.0,3,High,2,2.0,2.0,2.0
31,No,Travel Rarely,655,Research & Development,7,Master,Life Sciences,76,Very High,Male,48,High,2,Laboratory Technician,Very High,Divorced,5915,9528,3.0,No Overtime,22,4,Very High,1,10.0,3,Medium,7,7.0,1.0,7.0
37,No,Travel Rarely,1115,Research & Development,1,Master,Life Sciences,77,Low,Male,51,Medium,2,Manufacturing Director,High,Divorced,5993,2689,1.0,No Overtime,18,3,High,1,7.0,2,Very High,7,5.0,0.0,7.0
32,No,Travel Rarely,427,Research & Development,1,Bachelor,Medical,78,Low,Male,33,High,2,Manufacturing Director,Very High,Married,6162,10877,1.0,Overtime,22,4,Medium,1,9.0,3,High,9,8.0,7.0,8.0
38,No,Travel Frequently,653,Research & Development,29,Doctor,Life Sciences,79,Very High,Female,50,High,2,Laboratory Technician,Very High,Single,2406,5456,1.0,No Overtime,11,3,Very High,0,10.0,2,High,10,3.0,7.5,9.0
50,No,Travel Rarely,989,Research & Development,7,College,Medical,80,Medium,Female,43,Medium,5,Research Director,High,Divorced,16581,16701,5.0,Overtime,12,3,Very High,1,28.5,2,Medium,18,3.0,7.5,8.0
59,No,Travel Rarely,1435,Sales,25,Bachelor,Life Sciences,81,Low,Female,99,High,3,Sales Executive,Low,Single,7637,2354,7.0,No Overtime,11,3,Very High,0,28.0,3,Medium,18,14.5,7.0,9.0
36,No,Travel Rarely,1223,Research & Development,8,Bachelor,Technical Degree,83,High,Female,59,High,3,Healthcare Representative,High,Divorced,10096,8202,1.0,No Overtime,13,3,Medium,3,17.0,2,High,17,14.0,7.5,8.0
55,No,Travel Rarely,836,Research & Development,8,Bachelor,Medical,84,Very High,Female,33,High,4,Manager,High,Divorced,14756,19730,2.0,Overtime,14,3,High,3,21.0,2,High,5,0.0,0.0,2.0
36,No,Travel Frequently,1195,Research & Development,11,Bachelor,Life Sciences,85,Medium,Male,95,Medium,2,Manufacturing Director,Medium,Single,6499,22656,1.0,No Overtime,13,3,High,0,6.0,3,High,6,5.0,0.0,3.0
45,No,Travel Rarely,1339,Research & Development,7,Bachelor,Life Sciences,86,Medium,Male,59,High,3,Research Scientist,Low,Divorced,9724,18787,2.0,No Overtime,17,3,High,1,25.0,2,High,1,0.0,0.0,0.0
35,No,Travel Frequently,664,Research & Development,1,Bachelor,Medical,88,Medium,Male,79,High,1,Research Scientist,Low,Married,2194,5868,4.0,No Overtime,13,3,Very High,1,5.0,2,Medium,3,2.0,1.0,2.0
36,Yes,Travel Rarely,318,Research & Development,9,Bachelor,Medical,90,Very High,Male,79,Medium,1,Research Scientist,High,Married,3388,21777,0.0,Overtime,17,3,Low,1,2.0,0,Medium,1,0.0,0.0,0.0
59,No,Travel Frequently,1225,Sales,1,Below College,Life Sciences,91,Low,Female,57,Medium,2,Sales Executive,High,Single,5473,24668,7.0,No Overtime,11,3,Very High,0,20.0,2,Medium,4,3.0,1.0,3.0
29,No,Travel Rarely,1328,Research & Development,2,Bachelor,Life Sciences,94,High,Male,76,High,1,Research Scientist,Medium,Married,2703,4956,0.0,No Overtime,23,4,Very High,1,6.0,3,High,5,4.0,0.0,4.0
31,No,Travel Rarely,1082,Research & Development,1,Master,Medical,95,High,Male,87,High,1,Research Scientist,Medium,Single,2501,18775,1.0,No Overtime,17,3,Medium,0,1.0,4,High,1,1.0,1.0,0.0
32,No,Travel Rarely,548,Research & Development,1,Bachelor,Life Sciences,96,Medium,Male,66,High,2,Research Scientist,Medium,Married,6220,7346,1.0,No Overtime,17,3,Medium,2,10.0,3,High,10,4.0,0.0,9.0
36,No,Travel Rarely,132,Research & Development,6,Bachelor,Life Sciences,97,Medium,Female,55,Very High,1,Laboratory Technician,Very High,Married,3038,22002,3.0,No Overtime,12,3,Medium,0,5.0,3,High,1,0.0,0.0,0.0
31,No,Travel Rarely,746,Research & Development,8,Master,Life Sciences,98,High,Female,61,High,2,Manufacturing Director,Very High,Single,4424,20682,1.0,No Overtime,23,4,Very High,0,11.0,2,High,11,7.0,1.0,8.0
35,No,Travel Rarely,776,Sales,1,Master,Marketing,100,High,Male,32,Medium,2,Sales Executive,Low,Single,4312,23016,0.0,No Overtime,14,3,Medium,0,16.0,2,High,15,13.0,2.0,8.0
45,No,Travel Rarely,193,Research & Development,6,Master,Other,101,Very High,Male,52,High,3,Research Director,Low,Married,13245,15067,4.0,Overtime,14,3,Medium,0,17.0,3,Very High,0,0.0,0.0,0.0
37,No,Travel Rarely,397,Research & Development,7,Master,Medical,102,Low,Male,30,High,3,Research Director,High,Single,13664,25258,4.0,No Overtime,13,3,Low,0,16.0,3,Very High,5,2.0,0.0,2.0
46,No,Travel Rarely,945,Human Resources,5,College,Medical,103,Medium,Male,80,High,2,Human Resources,Medium,Divorced,5021,10425,8.0,Overtime,22,4,Very High,1,16.0,2,High,4,2.0,0.0,2.0
30,No,Travel Rarely,852,Research & Development,1,Below College,Life Sciences,104,Very High,Male,55,Medium,2,Laboratory Technician,Very High,Married,5126,15998,1.0,Overtime,12,3,High,2,10.0,1,Medium,10,8.0,3.0,0.0
35,No,Travel Rarely,1214,Research & Development,1,Bachelor,Medical,105,Medium,Male,30,Medium,1,Research Scientist,High,Single,2859,26278,1.0,No Overtime,18,3,Low,0,6.0,3,High,6,4.0,0.0,4.0
55,No,Travel Rarely,111,Sales,1,College,Life Sciences,106,Low,Male,70,High,3,Sales Executive,Very High,Married,10239,18092,3.0,No Overtime,14,3,Very High,1,24.0,4,High,1,0.0,1.0,0.0
38,No,No Travel,573,Research & Development,6,Bachelor,Medical,107,Medium,Female,79,Low,2,Research Scientist,Very High,Divorced,5329,15717,7.0,Overtime,12,3,Very High,3,17.0,3,High,13,11.0,1.0,9.0
34,No,Travel Rarely,1153,Research & Development,1,College,Medical,110,Low,Male,94,High,2,Manufacturing Director,Medium,Married,4325,17736,1.0,No Overtime,15,3,High,0,5.0,2,High,5,2.0,1.0,3.0
56,No,Travel Rarely,1400,Research & Development,7,Bachelor,Life Sciences,112,Very High,Male,49,Low,3,Manufacturing Director,Very High,Single,7260,21698,4.0,No Overtime,11,3,Low,0,28.5,3,Medium,6,4.0,0.0,2.0
23,No,Travel Rarely,541,Sales,2,Below College,Technical Degree,113,High,Male,62,High,1,Sales Representative,Low,Divorced,2322,9518,3.0,No Overtime,13,3,High,1,3.0,3,High,0,0.0,0.0,0.0
51,No,Travel Rarely,432,Research & Development,9,Master,Life Sciences,116,Very High,Male,96,High,1,Laboratory Technician,Very High,Married,2075,18725,3.0,No Overtime,23,4,Medium,2,10.0,4,High,4,2.0,0.0,3.0
30,No,Travel Rarely,288,Research & Development,2,Bachelor,Life Sciences,117,High,Male,99,Medium,2,Healthcare Representative,Very High,Married,4152,15830,1.0,No Overtime,19,3,Low,3,11.0,3,High,11,10.0,7.5,8.0
46,Yes,Travel Rarely,669,Sales,9,College,Medical,118,High,Male,64,Medium,3,Sales Executive,Very High,Single,9619,13596,1.0,No Overtime,16,3,Very High,0,9.0,3,High,9,8.0,4.0,7.0
40,No,Travel Frequently,530,Research & Development,1,Master,Life Sciences,119,High,Male,78,Medium,4,Healthcare Representative,Medium,Married,13503,14115,1.0,No Overtime,22,4,Very High,1,22.0,3,Medium,18,3.0,7.5,11.0
51,No,Travel Rarely,632,Sales,21,Master,Marketing,120,High,Male,71,High,2,Sales Executive,Very High,Single,5441,8423,0.0,Overtime,22,4,Very High,0,11.0,2,Low,10,7.0,1.0,0.0
30,No,Travel Rarely,1334,Sales,4,College,Medical,121,High,Female,63,Medium,2,Sales Executive,Medium,Divorced,5209,19760,1.0,Overtime,12,3,Medium,3,11.0,4,Medium,11,8.0,2.0,7.0
46,No,Travel Frequently,638,Research & Development,1,Bachelor,Medical,124,High,Male,40,Medium,3,Healthcare Representative,Low,Married,10673,3142,2.0,Overtime,13,3,High,1,21.0,5,Medium,10,9.0,7.5,5.0
32,No,Travel Rarely,1093,Sales,6,Master,Medical,125,Medium,Male,87,High,2,Sales Executive,High,Single,5010,24301,1.0,No Overtime,16,3,Low,0,12.0,0,High,11,8.0,5.0,7.0
54,No,Travel Rarely,1217,Research & Development,2,Master,Technical Degree,126,Low,Female,60,High,3,Research Director,High,Married,13549,24001,8.5,No Overtime,12,3,Low,1,16.0,5,Low,4,3.0,0.0,3.0
24,No,Travel Rarely,1353,Sales,3,College,Other,128,Low,Female,33,High,2,Sales Executive,High,Married,4999,17519,0.0,No Overtime,21,4,Low,1,4.0,2,Medium,3,2.0,0.0,2.0
28,No,No Travel,120,Sales,4,Bachelor,Medical,129,Medium,Male,43,High,2,Sales Executive,High,Married,4221,8863,1.0,No Overtime,15,3,Medium,0,5.0,3,Very High,5,4.0,0.0,4.0
58,No,Travel Rarely,682,Sales,10,Master,Medical,131,Very High,Male,37,High,4,Sales Executive,High,Single,13872,24409,0.0,No Overtime,13,3,High,0,28.5,1,Medium,18,10.0,1.0,8.0
44,No,No Travel,489,Research & Development,23,Bachelor,Medical,132,Medium,Male,67,High,2,Laboratory Technician,Medium,Married,2042,25043,4.0,No Overtime,12,3,High,1,17.0,3,Very High,3,2.0,1.0,2.0
37,Yes,Travel Rarely,807,Human Resources,6,Master,Human Resources,133,High,Male,63,High,1,Human Resources,Low,Divorced,2073,23648,4.0,Overtime,22,4,Very High,0,7.0,3,High,3,2.0,0.0,2.0
32,No,Travel Rarely,827,Research & Development,1,Below College,Life Sciences,134,Very High,Male,71,High,1,Research Scientist,Low,Single,2956,15178,1.0,No Overtime,13,3,Very High,0,1.0,2,High,1,0.0,0.0,0.0
20,Yes,Travel Frequently,871,Research & Development,6,Bachelor,Life Sciences,137,Very High,Female,66,Medium,1,Laboratory Technician,Very High,Single,2926,19783,1.0,Overtime,18,3,Medium,0,1.0,5,High,1,0.0,1.0,0.0
34,No,Travel Rarely,665,Research & Development,6,Master,Other,138,Low,Female,41,High,2,Research Scientist,High,Single,4809,12482,1.0,No Overtime,14,3,High,0,16.0,3,High,16,13.0,2.0,10.0
37,No,No Travel,1040,Research & Development,2,College,Life Sciences,139,High,Male,100,Medium,2,Healthcare Representative,Very High,Divorced,5163,15850,5.0,No Overtime,14,3,Very High,1,17.0,2,Very High,1,0.0,0.0,0.0
59,No,No Travel,1420,Human Resources,2,Master,Human Resources,140,High,Female,32,Medium,5,Manager,Very High,Married,16581,21922,8.5,No Overtime,21,4,Very High,1,28.5,3,High,3,2.0,2.0,2.0
50,No,Travel Frequently,1115,Research & Development,1,Bachelor,Life Sciences,141,Low,Female,73,High,5,Research Director,Medium,Married,16581,9755,3.0,Overtime,19,3,Low,0,28.0,1,Medium,8,3.0,0.0,7.0
25,Yes,Travel Rarely,240,Sales,5,Bachelor,Marketing,142,High,Male,46,Medium,2,Sales Executive,High,Single,5744,26959,1.0,Overtime,11,3,Very High,0,6.0,1,High,6,4.0,0.0,3.0
25,No,Travel Rarely,1280,Research & Development,7,Below College,Medical,143,Very High,Male,64,Medium,1,Research Scientist,Very High,Married,2889,26897,1.0,No Overtime,11,3,High,2,2.0,2,High,2,2.0,2.0,1.0
22,No,Travel Rarely,534,Research & Development,15,Bachelor,Medical,144,Medium,Female,59,High,1,Laboratory Technician,Very High,Single,2871,23785,1.0,No Overtime,15,3,High,0,1.0,5,High,0,0.0,0.0,0.0
51,No,Travel Frequently,1456,Research & Development,1,Master,Medical,145,Low,Female,30,Medium,3,Healthcare Representative,Low,Single,7484,25796,3.0,No Overtime,20,4,High,0,23.0,1,Medium,13,12.0,7.5,8.0
34,Yes,Travel Frequently,658,Research & Development,7,Bachelor,Life Sciences,147,Low,Male,66,Low,2,Laboratory Technician,High,Single,6074,22887,1.0,Overtime,24,4,Very High,0,9.0,3,High,9,7.0,0.0,6.0
54,No,No Travel,142,Human Resources,26,Bachelor,Human Resources,148,Very High,Female,30,Very High,4,Manager,Very High,Single,16581,13871,2.0,Overtime,12,3,High,0,23.0,3,High,5,3.0,4.0,4.0
24,No,Travel Rarely,1127,Research & Development,18,Below College,Life Sciences,150,Medium,Male,52,High,1,Laboratory Technician,High,Married,2774,13257,0.0,No Overtime,12,3,High,1,6.0,2,High,5,3.0,1.0,2.0
34,No,Travel Rarely,1031,Research & Development,6,Master,Life Sciences,151,High,Female,45,Medium,2,Research Scientist,Medium,Divorced,4505,15000,6.0,No Overtime,15,3,High,1,12.0,3,High,1,0.0,0.0,0.0
37,No,Travel Rarely,1189,Sales,3,Bachelor,Life Sciences,152,High,Male,87,High,3,Sales Executive,Very High,Single,7428,14506,2.0,No Overtime,12,3,Low,0,12.0,3,High,5,3.0,1.0,3.0
34,No,Travel Rarely,1354,Research & Development,5,Bachelor,Medical,153,High,Female,45,Medium,3,Manager,Low,Single,11631,5615,2.0,No Overtime,12,3,Very High,0,14.0,6,High,11,10.0,5.0,8.0
36,No,Travel Frequently,1467,Sales,11,College,Technical Degree,154,Medium,Female,92,High,3,Sales Executive,Very High,Married,9738,22952,0.0,No Overtime,14,3,High,1,10.0,6,High,9,7.0,2.0,8.0
36,No,Travel Rarely,922,Research & Development,3,College,Life Sciences,155,Low,Female,39,High,1,Laboratory Technician,Very High,Divorced,2835,2561,5.0,No Overtime,22,4,Low,1,7.0,2,High,1,0.0,0.0,0.0
43,No,Travel Frequently,394,Sales,26,College,Life Sciences,158,High,Male,92,High,4,Manager,Very High,Married,16581,19494,1.0,Overtime,12,3,Very High,2,25.0,3,Very High,18,12.0,4.0,12.0
30,No,Travel Frequently,1312,Research & Development,23,Bachelor,Life Sciences,159,Low,Male,96,Low,1,Research Scientist,High,Divorced,2613,22310,1.0,No Overtime,25,4,High,3,10.0,2,Medium,10,7.0,0.0,9.0
33,No,No Travel,750,Sales,22,College,Marketing,160,High,Male,95,High,2,Sales Executive,Medium,Married,6146,15480,0.0,No Overtime,13,3,Low,1,8.0,2,Very High,7,7.0,0.0,7.0
56,Yes,Travel Rarely,441,Research & Development,14,Master,Life Sciences,161,Medium,Female,72,High,1,Research Scientist,Medium,Married,4963,4510,8.5,Overtime,18,3,Low,3,7.0,2,High,5,4.0,4.0,3.0
51,No,Travel Rarely,684,Research & Development,6,Bachelor,Life Sciences,162,Low,Male,51,High,5,Research Director,High,Single,16581,6462,7.0,No Overtime,13,3,High,0,23.0,5,High,18,14.5,7.5,14.5
31,Yes,Travel Rarely,249,Sales,6,Master,Life Sciences,163,Medium,Male,76,Low,2,Sales Executive,High,Married,6172,20739,4.0,Overtime,18,3,Medium,0,12.0,3,Medium,7,7.0,7.0,7.0
